Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
6674 THORNHILL CT,0.0761,2112,1980,3,2,12/28/16,276000,TOWNHOUSE
6672 CANARY PALM CIR,0.084,2747,1985,3,2,4/11/18,298000,TOWNHOUSE
6668 THORNHILL CT,0.0709,2595,1980,3,2,11/8/18,343000,TOWNHOUSE
6658 THORNHILL CT,0.0724,2352,1980,3,2,4/28/17,304000,TOWNHOUSE
6656 THORNHILL CT,0.0707,2185,1980,3,2,6/22/18,355000,TOWNHOUSE
6633 AMBERWOODS DR,0.1637,2657,1979,3,2,10/26/18,390000,SINGLE FAMILY
6630 PATIO LN,0.0981,2366,1980,3,2,10/9/17,390000,TOWNHOUSE
6627 BOCA HERMOSA LN,0.0355,2349,1993,3,2,6/1/17,285000,TOWNHOUSE
6626 TIBURON CIR,0.0652,1634,1979,3,2,11/11/19,290000,TOWNHOUSE
6620 THORNHILL CT,0.0741,2112,1980,3,2,2/26/18,275000,TOWNHOUSE
6617 BOCA HERMOSA LN,0.0355,2057,1994,3,2,10/4/18,320000,TOWNHOUSE
6611 LAS FLORES DR,0.0724,2315,1981,3,2,10/12/18,400000,TOWNHOUSE
6608 THORNHILL CT,0.1036,2112,1980,3,2,11/21/18,300000,TOWNHOUSE
6605 LAS FLORES DR,0.1239,2635,1981,3,2,7/13/17,405000,TOWNHOUSE
6602 TIBURON CIR,0.0767,1925,1979,3,2,5/3/18,275000,TOWNHOUSE
6602 LAS FLORES DR,0.1032,2635,1981,3,2,2/10/18,413000,TOWNHOUSE
6597 BOCA HERMOSA LN,0.0355,2445,1993,3,2,6/17/19,292500,TOWNHOUSE
6596 LAS FLORES DR,0.1227,2958,1981,3,2,5/16/17,425000,TOWNHOUSE
6595 PARKVIEW DR,0.0682,2844,1982,3,2,10/3/17,315000,TOWNHOUSE
6595 PARKVIEW DR,0.0697,2888,1982,3,2,6/28/19,285000,TOWNHOUSE
6595 PARKVIEW DR,0.071,2648,1982,3,2,12/21/17,323000,TOWNHOUSE
6595 PARKVIEW DR,0.0724,2844,1981,3,2,3/29/18,330000,TOWNHOUSE
6595 PARKVIEW DR,0.1116,2844,1982,3,2,6/22/18,292000,TOWNHOUSE
6590 ALTURA PL,0.0723,2315,1981,3,2,3/23/18,350000,TOWNHOUSE
6582 PATIO LN,0.1331,2366,1980,3,2,3/24/17,357500,TOWNHOUSE
6574 PATIO LN,0.1083,2366,1980,3,2,4/2/18,383000,TOWNHOUSE
6572 LAS FLORES DR,0.1457,2344,1981,3,2,3/29/18,375000,TOWNHOUSE
6570 TIMBER LN,0.2302,3760,1979,3,3,1/18/18,510000,SINGLE FAMILY
6570 PATIO LN,0.1775,3190,1980,3,2,1/15/19,480000,TOWNHOUSE
6570 ALTURA PL,0.0942,2448,1981,3,3,3/13/17,320000,TOWNHOUSE
6568 TIMBER LN,0.2178,2996,1980,3,2,9/24/19,575000,SINGLE FAMILY
6565 PARKVIEW DR,0.1147,2888,1981,3,2,8/8/17,322000,TOWNHOUSE
6556 VIA BENITA,0.1703,3064,1986,3,2,3/22/19,420000,SINGLE FAMILY
6546 PATIO LN,0.1199,3190,1980,3,2,8/18/17,430000,TOWNHOUSE
6536 LAS FLORES DR,0.0683,2315,1981,3,2,2/6/19,320000,TOWNHOUSE
6535 PARKVIEW DR,0.0985,2648,1982,3,2,7/3/17,280000,TOWNHOUSE
6535 PARKVIEW DR,0.0795,2888,1985,3,2,5/22/18,300000,TOWNHOUSE
6535 PARKVIEW DR,0.0724,2888,1985,3,2,2/28/18,310000,TOWNHOUSE
6535 PARKVIEW DR,0.0638,2888,1985,3,2,5/10/19,292500,TOWNHOUSE
6533 LAS FLORES DR,0.0684,2315,1981,3,2,10/8/18,391500,TOWNHOUSE
6533 CASABELLA LN,0.1494,2760,1979,3,2,8/30/18,335000,SINGLE FAMILY
