Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
132 PEABODY DR,0.1711,2966,2001,3,2,6/22/21,705000,SINGLE FAMILY
132 NEWCASTLE DR,0.1888,2848,2001,3,2,5/28/22,965000,SINGLE FAMILY
130 POINCIANA DR,0.1335,3440,2001,5,3,1/12/24,1200000,SINGLE FAMILY
130 NEWCASTLE DR,0.1517,2500,2001,3,2,1/24/23,820000,SINGLE FAMILY
129 FARMINGDALE DR,0.0828,2278,2001,3,2,4/5/23,690000,TOWNHOUSE
128 PEABODY DR,0.132,2848,2001,3,2,7/21/21,690000,SINGLE FAMILY
127 DANFORTH DR,0.1452,3606,2001,4,3,3/27/23,1400000,SINGLE FAMILY
121 MARLBERRY CIR,0.1722,4229,2001,5,3,9/22/23,1230000,SINGLE FAMILY
120 ROCKINGHAM RD,0.101,1990,2001,2,2,5/5/21,411480,SINGLE FAMILY
119 WATERFORD DR,0.0854,2376,2001,3,2,6/1/21,570000,TOWNHOUSE
117 WATERFORD DR,0.0566,2364,2001,3,2,2/14/24,750000,TOWNHOUSE
117 WATERFORD DR,0.0566,2364,2001,3,2,8/1/23,555000,TOWNHOUSE
117 POINCIANA DR,0.1286,2654,2001,3,2,2/26/24,925000,SINGLE FAMILY
114 POINCIANA DR,0.1286,2500,2001,3,2,11/8/21,730000,SINGLE FAMILY
114 NEWCASTLE DR,0.1385,2654,2001,3,2,1/25/24,965000,SINGLE FAMILY
113 ROCKINGHAM RD,0.1449,2640,2001,3,2,7/5/21,645000,SINGLE FAMILY
113 MILBRIDGE DR,0.1017,1990,2001,2,2,1/26/23,665000,SINGLE FAMILY
112 WATERFORD DR,0.0854,2376,2001,3,2,6/20/22,675000,TOWNHOUSE
111 MILBRIDGE DR,0.1485,2414,2001,3,2,12/3/21,700000,SINGLE FAMILY
111 HONEYSUCKLE DR,0.1173,2966,2001,3,2,6/12/23,950000,SINGLE FAMILY
111 HONEYSUCKLE DR,0.1173,2966,2001,3,2,5/24/21,640000,SINGLE FAMILY
110 MERRIMACK WAY,0.0841,2294,2001,3,2,10/29/21,570000,TOWNHOUSE
896 UNIVERSITY BLVD,0.0312,2274,2002,3,2,8/25/21,388000,TOWNHOUSE
894 UNIVERSITY BLVD,0.0309,2274,2002,3,2,4/28/21,357000,TOWNHOUSE
886 UNIVERSITY BLVD,0.0299,2274,2002,3,2,6/9/21,365000,TOWNHOUSE
816 UNIVERSITY BLVD,0.043,2533,2002,3,2,8/31/23,530000,TOWNHOUSE
816 UNIVERSITY BLVD,0.043,2533,2002,3,2,3/13/23,523000,TOWNHOUSE
812 UNIVERSITY BLVD,0.0515,2573,2002,3,2,4/30/21,340000,TOWNHOUSE
802 UNIVERSITY BLVD,0.0475,2573,2002,3,2,9/17/21,410000,TOWNHOUSE
316 MURCIA DR,0.2203,4600,2002,3,3,1/13/22,1575000,SINGLE FAMILY
316 MURCIA DR,0.2203,4600,2002,3,3,10/13/21,1100000,SINGLE FAMILY
139 BARCELONA DR,0.2333,4456,2002,3,3,2/28/22,2200000,SINGLE FAMILY
124 INDIAN CROSSING CIR,0.0371,2573,2002,3,2,7/17/23,533000,TOWNHOUSE
124 INDIAN CROSSING CIR,0.0371,2573,2002,3,2,9/29/21,450000,TOWNHOUSE
122 POWELL LN,0.0276,2274,2002,3,2,3/24/21,335000,TOWNHOUSE
120 SEGOVIA WAY,0.6071,5478,2002,5,4,6/14/23,2950000,SINGLE FAMILY
119 INDIAN CROSSING CIR,0.0536,2533,2002,3,2,6/27/22,555000,TOWNHOUSE
117 OSCEOLA LN,0.0483,2533,2002,3,2,7/8/21,360000,TOWNHOUSE
115 VALENCIA BLVD,0.2725,5388,2002,4,4,6/6/23,1925000,SINGLE FAMILY
115 APALACHEE LN,0.0275,2274,2002,3,2,4/26/23,480000,TOWNHOUSE
114 SANTANDER DR,0.2614,5492,2002,5,4,3/20/23,2200000,SINGLE FAMILY
112 INDIAN CROSSING CIR,0.0458,2573,2002,3,2,5/24/22,553000,TOWNHOUSE
111 APALACHEE LN,0.0368,2533,2002,3,2,2/7/23,505000,TOWNHOUSE
109 VALENCIA BLVD,0.2725,5084,2002,4,4,11/3/21,1730000,SINGLE FAMILY
109 ARPEICKA LN,0.0275,2419,2002,3,2,4/8/21,360000,TOWNHOUSE
107 SANTANDER DR,0.2089,4167,2002,4,4,3/21/23,1550000,SINGLE FAMILY
107 INDIAN CROSSING CIR,0.0276,2419,2002,3,2,3/4/22,480000,TOWNHOUSE
105 ARPEICKA LN,0.0275,2274,2002,3,2,4/21/22,485000,TOWNHOUSE
103 VALENCIA BLVD,0.3125,5215,2002,5,4,10/24/23,2100000,SINGLE FAMILY
103 INDIAN CROSSING CIR,0.0377,2573,2002,3,2,5/10/22,469000,TOWNHOUSE
102 SEGOVIA WAY,0.3027,5796,2002,4,4,5/11/21,1650000,SINGLE FAMILY
4130 COMMUNITY DR,0.0685,2407,2003,3,2,4/7/21,455000,TOWNHOUSE
4122 PARKSIDE DR,0.1441,2427,2003,3,3,2/15/23,680000,TOWNHOUSE
4119 COMMUNITY DR,0.0995,2419,2003,3,2,5/25/22,630000,TOWNHOUSE
4118 COMMUNITY DR,0.1036,2419,2003,3,2,8/16/22,602000,TOWNHOUSE
4111 COMMUNITY DR,0.0643,2407,2003,3,2,9/12/22,600000,TOWNHOUSE
4106 PARKSIDE DR,0.078,2427,2003,3,3,8/2/23,644975,TOWNHOUSE
4018 PARKSIDE DR,0.0864,2427,2003,3,3,10/21/21,535000,TOWNHOUSE
4011 COMMUNITY DR,0.2045,5113,2003,5,4,3/13/23,1475000,SINGLE FAMILY
4006 PARKSIDE DR,0.0788,2427,2003,3,3,5/27/21,460000,TOWNHOUSE
3826 GREENWAY DR,0.1059,2427,2003,3,3,11/17/21,595000,TOWNHOUSE
376 SAN REMO DR,0.1498,2853,2003,3,2,5/22/23,870000,SINGLE FAMILY
3384 GREENWAY DR,0.0786,2427,2003,3,3,1/21/22,532500,TOWNHOUSE
3380 GREENWAY DR,0.0786,2427,2003,3,3,8/31/21,490000,TOWNHOUSE
3372 GREENWAY DR,0.0786,2427,2003,3,3,10/22/21,385000,TOWNHOUSE
3352 GREENWAY DR,0.1128,2427,2003,3,3,11/30/22,615000,TOWNHOUSE
3352 GREENWAY DR,0.1128,2427,2003,3,3,4/30/21,449000,TOWNHOUSE
331 SAN REMO DR,0.2569,4789,2003,5,4,5/21/21,1375000,SINGLE FAMILY
330 SAN REMO DR,0.1942,5113,2003,5,4,9/30/21,1170000,SINGLE FAMILY
319 GALICIA WAY,0.1722,3655,2003,4,3,4/15/21,850000,SINGLE FAMILY
317 GALICIA WAY,0.1722,3697,2003,4,3,2/15/24,1350000,SINGLE FAMILY
317 GALICIA WAY,0.1722,3697,2003,4,3,4/24/23,1200000,SINGLE FAMILY
315 GALICIA WAY,0.2195,4114,2003,3,3,11/30/23,1300000,SINGLE FAMILY
310 SAN REMO DR,0.1797,3035,2003,3,2,6/16/22,905000,SINGLE FAMILY
272 SAN REMO DR,0.1838,4058,2003,5,3,1/4/24,1525000,SINGLE FAMILY
242 SAN REMO DR,0.2054,5113,2003,5,4,5/10/22,1677000,SINGLE FAMILY
238 SORIANO DR,0.0931,2427,2003,3,3,6/20/23,714000,TOWNHOUSE
238 SAN REMO DR,0.1866,3035,2003,3,2,7/15/21,725000,SINGLE FAMILY
230 SORIANO DR,0.0798,2427,2003,3,3,5/9/23,635000,TOWNHOUSE
211 BARCELONA DR,0.1139,2427,2003,3,3,5/24/22,662000,TOWNHOUSE
1991 FREDERICK SMALL RD,0.0582,2407,2003,3,2,10/29/21,450000,TOWNHOUSE
1975 FREDERICK SMALL RD,0.0868,2419,2003,3,2,1/7/22,550000,TOWNHOUSE
